City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
504,mochudi,-24.4167,26.15,16.97,27,0,1.91,BW,1715040030
505,turpan,42.9333,89.1667,27.25,23,79,1.17,CN,1715040030
506,cidreira,-30.1811,-50.2056,22.21,80,4,0.02,BR,1715040030
507,sao tome,0.3365,6.7273,27.77,82,79,4.75,ST,1715040030
508,gamba,-2.65,10.0,25.94,92,92,2.62,GA,1715040030
509,taunggyi,20.7833,97.0333,21.46,61,91,0.68,MM,1715040031
510,dubbo,-32.25,148.6167,17.07,63,0,5.14,AU,1715040031
511,mata-utu,-13.2816,-176.1745,29.36,78,56,6.96,WF,1715040031
512,maxixe,-23.8597,35.3472,20.34,84,1,2.51,MZ,1715040031
513,broken hill,-31.95,141.4333,14.8,68,75,6.27,AU,1715040031
514,santana,-0.0583,-51.1817,27.1,94,75,2.57,BR,1715040031
515,jayapura,-2.5333,140.7,28.66,88,100,0.4,ID,1715040032
516,suva,-18.1416,178.4415,26.71,94,75,2.06,FJ,1715040032
517,jumla,29.2747,82.1838,9.84,74,63,1.38,NP,1715040032
518,civril,38.3014,29.7386,8.52,41,0,1.86,TR,1715040032
519,prince rupert,54.3161,-130.3201,7.83,87,100,7.72,CA,1715040032
520,chimoio,-19.1164,33.4833,16.92,100,0,0.74,MZ,1715040033
521,tralee,52.2704,-9.7026,9.68,91,89,2.01,IE,1715040033
522,tongouson,5.0214,120.1328,28.25,75,51,0.57,PH,1715040033
523,newman,37.3138,-121.0208,22.94,42,25,0.89,US,1715040033
524,muynoq,43.7683,59.0214,16.43,78,26,6.22,UZ,1715040033
525,victorica,-36.2151,-65.4359,11.84,92,0,5.51,AR,1715040033
526,kasongo,-4.45,26.6667,21.94,77,35,1.05,CD,1715040034
527,camana,-16.6228,-72.7111,20.01,88,66,3.73,PE,1715040034
528,rikaze,29.25,88.8833,5.7,70,99,1.55,CN,1715040034
529,boa viagem,-5.1275,-39.7322,22.59,77,99,0.54,BR,1715040034
530,axim,4.8699,-2.2405,27.5,83,96,1.9,GH,1715040035
531,parsons,37.3403,-95.2611,24.04,85,55,8.85,US,1715040035
532,orkney,-26.9802,26.6727,15.1,26,0,1.97,ZA,1715040035
533,selkirk,50.1436,-96.8845,21.04,41,94,4.47,CA,1715039916
534,murun-kuren,49.6342,100.1625,17.5,23,38,0.86,MN,1715040035
